;Universidades-D70;Calle26-D70;Av.39-D70;Calle57-D70;Polo-D70;EscuelaMilitar-D70;Av.68-D70;Granja.Cra77-D70;PortalDeLa80-D70;Universidades-K6;CentroMemoria-K6;PlazaDeLaDemocracia-K6;CiudadUniversitaria-K6;Corferias-K6;QuintaParedes-K6;Gobernacion-K6;CAN-K6;SalitreElGreco-K6;ElTiempoMaloka-K6;AvRojas-K6;Normandia-K6;Modelia-K6;PortalElDorado-K6;LasAguas-B74;MuseoDelOro-B74;AvJimenez-B74;Calle19-B74;Av.39-B74;Calle57-B74;Calle72-B74;Calle76-B74;Heroes-B74;Virrey-B74;Calle100-B74;PepeSierra-B74;Prado-B74;Calle142-B74;Toberin-B74;PortalNorte-B74;PortalElDorado-B16;Modelia-B16;Av.Rojas-B16;ElTiempoMaloka-B16;SalitreElGreco-B16;CAN-B16;Quintaparedes-B16;Corferias-B16;Av.Chile-B16;NQSCalle75-B16;PepeSierra-B16;Alcala-B16;Santafe-B16
Universidades-D70;0;4;60;37;43;26;12;21;11;0;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle26-D70;999;0;33;9;6;60;49;11;29;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.39-D70;999;999;0;31;17;26;18;19;38;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle57-D70;999;999;999;0;48;12;10;50;42;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Polo-D70;999;999;999;999;0;5;33;42;18;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
EscuelaMilitar-D70;999;999;999;999;999;0;36;54;36;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.68-D70;999;999;999;999;999;999;0;5;10;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Granja.Cra77-D70;999;999;999;999;999;999;999;0;7;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalDeLa80-D70;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Universidades-K6;0;999;999;999;999;999;999;999;999;0;100;147;12;72;35;33;39;36;42;31;15;42;10;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CentroMemoria-K6;999;999;999;999;999;999;999;999;999;999;0;91;46;58;33;21;10;27;35;11;54;47;55;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
PlazaDeLaDemocracia-K6;999;999;999;999;999;999;999;999;999;999;999;0;23;170;53;51;31;31;44;58;51;37;15;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CiudadUniversitaria-K6;999;999;999;999;999;999;999;999;999;999;999;999;0;57;23;5;41;54;32;47;8;26;23;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Corferias-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;0;7;45;13;53;7;22;9;33;58;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999
QuintaParedes-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;57;12;51;54;52;58;57;47;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999
Gobernacion-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;23;28;12;54;50;41;194;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CAN-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;53;51;6;40;29;132;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999
SalitreElGreco-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;41;22;67;32;191;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999
ElTiempoMaloka-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;129;60;58;41;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999
AvRojas-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;4;59;17;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999
Normandia-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;51;126;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Modelia-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;194;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999
PortalElDorado-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999
LasAguas-B74;0;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;0;55;42;33;12;37;39;6;34;24;49;58;23;30;45;28;999;999;999;999;999;999;999;999;999;999;999;999;999
MuseoDelOro-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;22;43;37;49;21;51;17;17;33;58;7;52;34;58;999;999;999;999;999;999;999;999;999;999;999;999;999
AvJimenez-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;31;48;39;5;53;27;10;28;47;38;26;58;37;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle19-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;54;10;16;43;57;47;12;14;13;8;41;50;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.39-B74;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;47;12;23;43;23;21;56;59;59;32;60;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle57-B74;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;38;34;18;28;25;11;15;40;20;21;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle72-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;18;7;16;44;32;13;15;45;22;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle76-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;48;50;48;34;22;39;33;42;999;999;999;999;999;999;999;999;999;999;999;999;999
