;Universidades-D70;Calle26-D70;Av.39-D70;Calle57-D70;Polo-D70;EscuelaMilitar-D70;Av.68-D70;Granja.Cra77-D70;PortalDeLa80-D70;Universidades-K6;CentroMemoria-K6;PlazaDeLaDemocracia-K6;CiudadUniversitaria-K6;Corferias-K6;QuintaParedes-K6;Gobernacion-K6;CAN-K6;SalitreElGreco-K6;ElTiempoMaloka-K6;AvRojas-K6;Normandia-K6;Modelia-K6;PortalElDorado-K6;LasAguas-B74;MuseoDelOro-B74;AvJimenez-B74;Calle19-B74;Av.39-B74;Calle57-B74;Calle72-B74;Calle76-B74;Heroes-B74;Virrey-B74;Calle100-B74;PepeSierra-B74;Prado-B74;Calle142-B74;Toberin-B74;PortalNorte-B74;PortalElDorado-B16;Modelia-B16;Av.Rojas-B16;ElTiempoMaloka-B16;SalitreElGreco-B16;CAN-B16;Quintaparedes-B16;Corferias-B16;Av.Chile-B16;NQSCalle75-B16;PepeSierra-B16;Alcala-B16;Santafe-B16
Universidades-D70;0;100;200;145;187;91;135;31;109;0;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle26-D70;999;0;300;123;198;105;198;122;175;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.39-D70;999;999;0;87;100;166;147;130;72;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle57-D70;999;999;999;0;98;76;150;110;160;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Polo-D70;999;999;999;999;0;76;172;140;48;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
EscuelaMilitar-D70;999;999;999;999;999;0;176;39;160;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.68-D70;999;999;999;999;999;999;0;166;154;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Granja.Cra77-D70;999;999;999;999;999;999;999;0;104;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
PortalDeLa80-D70;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Universidades-K6;0;999;999;999;999;999;999;999;999;0;100;84;102;34;191;131;85;48;173;116;100;177;46;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CentroMemoria-K6;999;999;999;999;999;999;999;999;999;999;0;36;158;146;174;94;141;128;136;142;127;138;75;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
PlazaDeLaDemocracia-K6;999;999;999;999;999;999;999;999;999;999;999;0;158;26;85;72;107;72;32;67;135;134;184;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CiudadUniversitaria-K6;999;999;999;999;999;999;999;999;999;999;999;999;0;49;41;188;128;53;151;46;123;163;142;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Corferias-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;0;65;93;187;123;157;163;116;182;153;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999
QuintaParedes-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;120;156;173;132;57;92;35;91;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999
Gobernacion-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;162;104;49;191;131;77;56;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
CAN-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;88;66;56;50;32;90;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999
SalitreElGreco-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;52;164;91;151;56;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999
ElTiempoMaloka-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;73;44;133;78;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999
AvRojas-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;98;30;168;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999
Normandia-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;182;35;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999
Modelia-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;192;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999
PortalElDorado-K6;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999
LasAguas-B74;0;999;999;999;999;999;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;0;100;22;132;69;90;36;95;78;75;189;103;137;27;104;197;999;999;999;999;999;999;999;999;999;999;999;999;999
MuseoDelOro-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;124;25;84;82;110;66;81;124;36;121;121;112;74;21;999;999;999;999;999;999;999;999;999;999;999;999;999
AvJimenez-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;80;171;93;168;199;78;178;140;159;74;151;47;97;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle19-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;100;36;32;61;100;84;105;81;155;69;47;63;999;999;999;999;999;999;999;999;999;999;999;999;999
Av.39-B74;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;76;66;183;29;136;115;174;22;114;105;135;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle57-B74;999;999;999;0;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;95;173;94;161;34;158;76;30;144;164;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle72-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;76;58;108;139;37;66;184;189;83;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle76-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;141;103;67;154;59;66;57;51;999;999;999;999;999;999;999;999;999;999;999;999;999
Heroes-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;157;52;148;123;77;39;20;999;999;999;999;999;999;999;999;999;999;999;999;999
Virrey-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;126;45;167;37;145;171;999;999;999;999;999;999;999;999;999;999;999;999;999
Calle100-B74;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;0;31;148;163;90;177;999;999;999;999;999;999;999;999;999;999;999;999;999
